"name"        ,"code"
"Bagerhat"    ,"Bagerhat"
"Bandarban"   ,"Bandarban"
"Barguna"     ,"Barguna"
"Barisal"     ,"Barisal"
"Bhola "      ,"Bhola "
"Bogra"       ,"Bogra"
"Brahmanbaria","Brahmanbaria"
"Chandpur"    ,"Chandpur"
"Chittagong"  ,"Chittagong"
"Chuadanga"   ,"Chuadanga"
"Comilla"     ,"Comilla"
"Cox\'sBazar" ,"Cox\'s Bazar"
"Dhaka"       ,"Dhaka"
"Dinajpur"    ,"Dinajpur"
"Faridpur"    ,"Faridpur"
"Feni"        ,"Feni"
"Gaibandha"   ,"Gaibandha"
"Gazipur"     ,"Gazipur"
"Gopalganj"   ,"Gopalganj"
"Habiganj"    ,"Habiganj"
"Jamalpur"    ,"Jamalpur"
"Jessore"     ,"Jessore"
"Jhalokati"   ,"Jhalokati"
"Jhenaidah"   ,"Jhenaidah"
"Joypurhat"   ,"Joypurhat"
"Khagrachhari","Khagrachhari"
"Khulna"      ,"Khulna"
"Kishoreganj" ,"Kishoreganj"
"Kurigram"    ,"Kurigram"
"Kushtia"     ,"Kushtia"
"Lakshmipur"  ,"Lakshmipur"
"Lalmonirhat" ,"Lalmonirhat"
"Madaripur"   ,"Madaripur"
"Magura"      ,"Magura"
"Manikganj"   ,"Manikganj"
"Meherpur"    ,"Meherpur"
"Moulvibazar" ,"Moulvibazar"
"Munshiganj"  ,"Munshiganj"
"Mymensingh"  ,"Mymensingh"
"Naogaon"     ,"Naogaon"
"Narail"      ,"Narail"
"Narayanganj" ,"Narayanganj"
"Narsingdi"   ,"Narsingdi"
"Natore"      ,"Natore"
"Nawabganj"   ,"Nawabganj"
"Netrakona"   ,"Netrakona"
"Nilphamari"  ,"Nilphamari"
"Noakhali"    ,"Noakhali"
"Pabna"       ,"Pabna"
"Panchagarh"  ,"Panchagarh"
"Patuakhali"  ,"Patuakhali"
"Pirojpur"    ,"Pirojpur"
"Rajbari"     ,"Rajbari"
"Rajshahi"    ,"Rajshahi"
"Rangamati"   ,"Rangamati"
"Rangpur"     ,"Rangpur"
"Satkhira"    ,"Satkhira"
"Shariatpur"  ,"Shariatpur"
"Sherpur"     ,"Sherpur"
"Sirajganj"   ,"Sirajganj"
"Sunamganj"   ,"Sunamganj"
"Sylhet"      ,"Sylhet"
"Tangail"     ,"Tangail"
"Thakurgaon"  ,"Thakurgaon"