Name,Can be Sold,Can be Purchased,Product Type,Sale Price,Company,Active,Cost Price,Quantity On Hand,Product Attributes/Attribute/Name,Product Attributes/Attribute/Values,Internal Category,Inventory Valuation
Skinfood gold caviar emulsion,True,True,Stockable Product,1950,FEEEL BEAUTY,True,0,10,Size,Size: Free,Cosmetics,Periodical (manual)
,,,,,,,,,Color,Color: Multi,,
Skinfood gold caviar serum,True,True,Stockable Product,2050,FEEEL BEAUTY,True,0,10,Size,Size: Free,Cosmetics,Periodical (manual)
,,,,,,,,,Color,Color: Multi,,
Skinfood lemon mask,True,True,Stockable Product,900,FEEEL BEAUTY,True,0,6,Size,Size: Free,Cosmetics,Periodical (manual)
,,,,,,,,,Color,Color: Multi,,
Skinfood miracle food 10 solution serum,True,True,Stockable Product,2650,FEEEL BEAUTY,True,0,10,Size,Size: Free,Cosmetics,Periodical (manual)
,,,,,,,,,Color,Color: Multi,,
Skinfood parsley & mandarin emulsion,True,True,Stockable Product,1400,FEEEL BEAUTY,True,0,10,Size,Size: Free,Cosmetics,Periodical (manual)
,,,,,,,,,Color,Color: Multi,,
Skinfood pineapple peeling gel,True,True,Stockable Product,750,FEEEL BEAUTY,True,0,9,Size,Size: Free,Cosmetics,Periodical (manual)
,,,,,,,,,Color,Color: Multi,,
Skinfood premium lettuce cucumber watery emulsion,True,True,Stockable Product,1400,FEEEL BEAUTY,True,0,9,Size,Size: Free,Cosmetics,Periodical (manual)
,,,,,,,,,Color,Color: Multi,,
Skinfood premium tomato whitening cream,True,True,Stockable Product,1350,FEEEL BEAUTY,True,0,5,Size,Size: Free,Cosmetics,Periodical (manual)
,,,,,,,,,Color,Color: Multi,,
Skinfood premium tomato whitening emulsion,True,True,Stockable Product,0,FEEEL BEAUTY,True,0,0,Size,Size: Free,Cosmetics,Periodical (manual)
,,,,,,,,,Color,Color: Multi,,
Skinfood premium tomato whitening emulsion,True,True,Stockable Product,1550,FEEEL BEAUTY,True,0,7,Size,Size: Free,Cosmetics,Periodical (manual)
,,,,,,,,,Color,Color: Multi,,
Skinfood premium tomato whitening moisture synergy,True,True,Stockable Product,2150,FEEEL BEAUTY,True,0,8,Size,Size: Free,Cosmetics,Periodical (manual)
,,,,,,,,,Color,Color: Multi,,
Skinfood Rice Brightening Cleansing Foam,True,True,Stockable Product,1200,FEEEL BEAUTY,True,0,10,Size,Size: Free,Cosmetics,Periodical (manual)
,,,,,,,,,Color,Color: Multi,,
Skinfood rice brightening scrub foam,True,True,Stockable Product,1150,FEEEL BEAUTY,True,0,6,Size,Size: Free,Cosmetics,Periodical (manual)
,,,,,,,,,Color,Color: Multi,,
Skinfood rice mask,True,True,Stockable Product,750,FEEEL BEAUTY,True,0,12,Size,Size: Free,Cosmetics,Periodical (manual)
,,,,,,,,,Color,Color: Multi,,
Skinfood royal honey essential queen's serum,True,True,Stockable Product,2050,FEEEL BEAUTY,True,0,10,Size,Size: Free,Cosmetics,Periodical (manual)
,,,,,,,,,Color,Color: Multi,,
Skinfood salmon brightening  eye cream,True,True,Stockable Product,1550,FEEEL BEAUTY,True,0,8,Size,Size: Free,Cosmetics,Periodical (manual)
,,,,,,,,,Color,Color: Multi,,
Skinfood strawberry black sugar mask,True,True,Stockable Product,900,FEEEL BEAUTY,True,0,19,Size,Size: Free,Cosmetics,Periodical (manual)
,,,,,,,,,Color,Color: Multi,,
Sparkling Squeaky (Face Cleanser) ,True,True,Stockable Product,0,FEEEL BEAUTY,True,0,0,Size,Size: Free,Cosmetics,Periodical (manual)
,,,,,,,,,Color,Color: Multi,,
Stay Sunny (Sun Block) ,True,True,Stockable Product,0,FEEEL BEAUTY,True,0,0,Size,Size: Free,Cosmetics,Periodical (manual)
,,,,,,,,,Color,Color: Multi,,
Mua 3in1 extreme contour liner,True,True,Stockable Product,750,FEEEL BEAUTY,True,0,0,Size,Size: Free,Cosmetics,Periodical (manual)
,,,,,,,,,Color,Color: Multi,,
Mua Artiste collection Eyeshadow palette,True,True,Stockable Product,1700,FEEEL BEAUTY,True,0,0,Size,Size: Free,Cosmetics,Periodical (manual)
,,,,,,,,,Color,Color: Multi,,
Mua cover & Conceal,True,True,Stockable Product,450,FEEEL BEAUTY,True,0,0,Size,Size: Free,Cosmetics,Periodical (manual)
,,,,,,,,,Color,Color: Multi,,
Mua Eyelash,True,True,Stockable Product,400,FEEEL BEAUTY,True,0,0,Size,Size: Free,Cosmetics,Periodical (manual)
,,,,,,,,,Color,Color: Multi,,
Mua Eyeshadow(Single),True,True,Stockable Product,250,FEEEL BEAUTY,True,0,0,Size,Size: Free,Cosmetics,Periodical (manual)
,,,,,,,,,Color,Color: Multi,,
Mua Hide & Conceal,True,True,Stockable Product,450,FEEEL BEAUTY,True,0,0,Size,Size: Free,Cosmetics,Periodical (manual)
,,,,,,,,,Color,Color: Multi,,
Mua Lip Balm,True,True,Stockable Product,450,FEEEL BEAUTY,True,0,0,Size,Size: Free,Cosmetics,Periodical (manual)
,,,,,,,,,Color,Color: Multi,,
Mua Lipstick,True,True,Stockable Product,400,FEEEL BEAUTY,True,0,2,Size,Size: Free,Cosmetics,Periodical (manual)
,,,,,,,,,Color,Color: Multi,,
Mua Luxe Velvet lip lacquer,True,True,Stockable Product,650,FEEEL BEAUTY,True,0,0,Size,Size: Free,Cosmetics,Periodical (manual)
,,,,,,,,,Color,Color: Multi,,
Mua Luxe whipped velvet lip lacquer,True,True,Stockable Product,650,FEEEL BEAUTY,True,0,0,Size,Size: Free,Cosmetics,Periodical (manual)
,,,,,,,,,Color,Color: Multi,,
Mua Mascara,True,True,Stockable Product,450,FEEEL BEAUTY,True,0,0,Size,Size: Free,Cosmetics,Periodical (manual)
,,,,,,,,,Color,Color: Multi,,
Mua Matte Lipstick,True,True,Stockable Product,400,FEEEL BEAUTY,True,0,0,Size,Size: Free,Cosmetics,Periodical (manual)
,,,,,,,,,Color,Color: Multi,,
Mua Pro-Base complexion Kit (Foundation),True,True,Stockable Product,1000,FEEEL BEAUTY,True,0,0,Size,Size: Free,Cosmetics,Periodical (manual)
,,,,,,,,,Color,Color: Multi,,
Mua Winter forest eyeshadow palette,True,True,Stockable Product,750,FEEEL BEAUTY,True,0,0,Size,Size: Free,Cosmetics,Periodical (manual)
,,,,,,,,,Color,Color: Multi,,
Innisfree the green tea seed eye cream,True,True,Stockable Product,1850,FEEEL BEAUTY,True,0,3,Size,Size: Free,Cosmetics,Periodical (manual)
,,,,,,,,,Color,Color: Multi,,
Innisfree the green tea seed serum,True,True,Stockable Product,1850,FEEEL BEAUTY,True,0,4,Size,Size: Free,Cosmetics,Periodical (manual)
,,,,,,,,,Color,Color: Multi,,
KLEAN Color Madly Matte,True,True,Stockable Product,520,FEEEL BEAUTY,True,0,1,Size,Size: Free,Cosmetics,Periodical (manual)
,,,,,,,,,Color,Color: Multi,,
LA GIRL Matte Liquid Lipstick,True,True,Stockable Product,520,FEEEL BEAUTY,True,0,0,Size,Size: Free,Cosmetics,Periodical (manual)
,,,,,,,,,Color,Color: Multi,,
innisfree olive real cleansing foam,True,True,Stockable Product,1150,FEEEL BEAUTY,True,0,10,Size,Size: Free,Cosmetics,Periodical (manual)
,,,,,,,,,Color,Color: Multi,,
innisfree olive real skin,True,True,Stockable Product,1950,FEEEL BEAUTY,True,0,9,Size,Size: Free,Cosmetics,Periodical (manual)
,,,,,,,,,Color,Color: Multi,,
innisfree orchid eye cream,True,True,Stockable Product,2550,FEEEL BEAUTY,True,0,10,Size,Size: Free,Cosmetics,Periodical (manual)
,,,,,,,,,Color,Color: Multi,,
innisfree perfect 9 repair lotion,True,True,Stockable Product,3250,FEEEL BEAUTY,True,0,5,Size,Size: Free,Cosmetics,Periodical (manual)
,,,,,,,,,Color,Color: Multi,,
innisfree perfect 9 repair skin,True,True,Stockable Product,2950,FEEEL BEAUTY,True,0,6,Size,Size: Free,Cosmetics,Periodical (manual)
,,,,,,,,,Color,Color: Multi,,
innisfree skinny microcara,True,True,Stockable Product,950,FEEEL BEAUTY,True,0,3,Size,Size: Free,Cosmetics,Periodical (manual)
,,,,,,,,,Color,Color: Multi,,
Innisfree super volcanic pore clay mask,True,True,Stockable Product,1250,FEEEL BEAUTY,True,0,7,Size,Size: Free,Cosmetics,Periodical (manual)
,,,,,,,,,Color,Color: Multi,,
Innisfree super volcanic pore clay mask,True,True,Stockable Product,0,FEEEL BEAUTY,True,0,0,Size,Size: Free,Cosmetics,Periodical (manual)
,,,,,,,,,Color,Color: Multi,,
Innisfree the green tea seed cream,True,True,Stockable Product,1750,FEEEL BEAUTY,True,0,3,Size,Size: Free,Cosmetics,Periodical (manual)
,,,,,,,,,Color,Color: Multi,,
Innisfree the green tea seed eye cream,True,True,Stockable Product,0,FEEEL BEAUTY,True,0,0,Size,Size: Free,Cosmetics,Periodical (manual)
,,,,,,,,,Color,Color: Multi,,
LA GIRL Pro Face Powder,True,True,Stockable Product,800,FEEEL BEAUTY,True,0,-4,Size,Size: Free,Cosmetics,Periodical (manual)
,,,,,,,,,Color,Color: Multi,,
Laneige multiberry yogurt pack,True,True,Stockable Product,2500,FEEEL BEAUTY,True,0,3,Size,Size: Free,Cosmetics,Periodical (manual)
,,,,,,,,,Color,Color: Multi,,
Laneige water sleeping mask,True,True,Stockable Product,2700,FEEEL BEAUTY,True,0,5,Size,Size: Free,Cosmetics,Periodical (manual)
,,,,,,,,,Color,Color: Multi,,
100 piece marbel eyeshadow palette,True,True,Stockable Product,3000,FEEEL BEAUTY,True,0,0,Size,Size: Free,Cosmetics,Periodical (manual)
,,,,,,,,,Color,Color: Multi,,
Eyelash Curler,True,True,Stockable Product,0,FEEEL BEAUTY,True,0,0,Size,Size: Free,Cosmetics,Periodical (manual)
,,,,,,,,,Color,Color: Multi,,
Eyelash Curler,True,True,Stockable Product,700,FEEEL BEAUTY,True,0,0,Size,Size: Free,Cosmetics,Periodical (manual)
,,,,,,,,,Color,Color: Multi,,
Ezzy Breezy (Skin Elixir),True,True,Stockable Product,0,FEEEL BEAUTY,True,0,0,Size,Size: Free,Cosmetics,Periodical (manual)
,,,,,,,,,Color,Color: Multi,,
innisfree bija trouble facial foam blemish,True,True,Stockable Product,900,FEEEL BEAUTY,True,0,9,Size,Size: Free,Cosmetics,Periodical (manual)
,,,,,,,,,Color,Color: Multi,,
Innisfree green tea balancing cream,True,True,Stockable Product,1350,FEEEL BEAUTY,True,0,6,Size,Size: Free,Cosmetics,Periodical (manual)
,,,,,,,,,Color,Color: Multi,,
Innisfree green tea balancing skin,True,True,Stockable Product,1550,FEEEL BEAUTY,True,0,6,Size,Size: Free,Cosmetics,Periodical (manual)
,,,,,,,,,Color,Color: Multi,,
Innisfree green tea cleansing foam,True,True,Stockable Product,900,FEEEL BEAUTY,True,0,8,Size,Size: Free,Cosmetics,Periodical (manual)
,,,,,,,,,Color,Color: Multi,,
Innisfree green tea cleansing water,True,True,Stockable Product,1550,FEEEL BEAUTY,True,0,10,Size,Size: Free,Cosmetics,Periodical (manual)
,,,,,,,,,Color,Color: Multi,,
innisfree it's real squeeze mask acai berry,True,True,Stockable Product,120,FEEEL BEAUTY,True,0,27,Size,Size: Free,Cosmetics,Periodical (manual)
,,,,,,,,,Color,Color: Multi,,
innisfree it's real squeeze mask bija,True,True,Stockable Product,175,FEEEL BEAUTY,True,0,30,Size,Size: Free,Cosmetics,Periodical (manual)
,,,,,,,,,Color,Color: Multi,,
innisfree it's real squeeze mask cucumber,True,True,Stockable Product,120,FEEEL BEAUTY,True,0,6,Size,Size: Free,Cosmetics,Periodical (manual)
,,,,,,,,,Color,Color: Multi,,
innisfree it's real squeeze mask green tea,True,True,Stockable Product,120,FEEEL BEAUTY,True,0,26,Size,Size: Free,Cosmetics,Periodical (manual)
,,,,,,,,,Color,Color: Multi,,
innisfree it's real squeeze mask lime,True,True,Stockable Product,120,FEEEL BEAUTY,True,0,13,Size,Size: Free,Cosmetics,Periodical (manual)
,,,,,,,,,Color,Color: Multi,,
innisfree it's real squeeze mask manuka honey,True,True,Stockable Product,120,FEEEL BEAUTY,True,0,21,Size,Size: Free,Cosmetics,Periodical (manual)
,,,,,,,,,Color,Color: Multi,,
innisfree it's real squeeze mask pomegranate,True,True,Stockable Product,120,FEEEL BEAUTY,True,0,27,Size,Size: Free,Cosmetics,Periodical (manual)
,,,,,,,,,Color,Color: Multi,,
innisfree it's real squeeze mask rice single pack,True,True,Stockable Product,120,FEEEL BEAUTY,True,0,13,Size,Size: Free,Cosmetics,Periodical (manual)
,,,,,,,,,Color,Color: Multi,,
innisfree it's real squeeze mask rose,True,True,Stockable Product,120,FEEEL BEAUTY,True,0,21,Size,Size: Free,Cosmetics,Periodical (manual)
,,,,,,,,,Color,Color: Multi,,
innisfree it's real squeeze mask strawberry,True,True,Stockable Product,120,FEEEL BEAUTY,True,0,22,Size,Size: Free,Cosmetics,Periodical (manual)
,,,,,,,,,Color,Color: Multi,,
Innisfree it's real squeeze mask Tea Tree,True,True,Stockable Product,120,FEEEL BEAUTY,True,0,16,Size,Size: Free,Cosmetics,Periodical (manual)
,,,,,,,,,Color,Color: Multi,,
Innisfree jeju lava seawater ampoule skin,True,True,Stockable Product,2650,FEEEL BEAUTY,True,0,6,Size,Size: Free,Cosmetics,Periodical (manual)
,,,,,,,,,Color,Color: Multi,,
Innisfree jeju lava seawater deep cream,True,True,Stockable Product,2450,FEEEL BEAUTY,True,0,6,Size,Size: Free,Cosmetics,Periodical (manual)
,,,,,,,,,Color,Color: Multi,,
Innisfree jeju lava seawater deep essence,True,True,Stockable Product,2450,FEEEL BEAUTY,True,0,6,Size,Size: Free,Cosmetics,Periodical (manual)
,,,,,,,,,Color,Color: Multi,,
Innisfree jeju lava seawater eye serum,True,True,Stockable Product,2950,FEEEL BEAUTY,True,0,6,Size,Size: Free,Cosmetics,Periodical (manual)
,,,,,,,,,Color,Color: Multi,,
Innisfree jeju lava seawater intensive ampoule,True,True,Stockable Product,2950,FEEEL BEAUTY,True,0,6,Size,Size: Free,Cosmetics,Periodical (manual)
,,,,,,,,,Color,Color: Multi,,
Innisfree jeju lava seawater lotion,True,True,Stockable Product,2650,FEEEL BEAUTY,True,0,6,Size,Size: Free,Cosmetics,Periodical (manual)
,,,,,,,,,Color,Color: Multi,,
Innisfree jeju sparkling mineral essence,True,True,Stockable Product,2550,FEEEL BEAUTY,True,0,5,Size,Size: Free,Cosmetics,Periodical (manual)
,,,,,,,,,Color,Color: Multi,,
innisfree jeju volcanic blackhead 3 step program,True,True,Stockable Product,550,FEEEL BEAUTY,True,0,49,Size,Size: Free,Cosmetics,Periodical (manual)
,,,,,,,,,Color,Color: Multi,,
Innisfree jeju volcanic pore clay mask,True,True,Stockable Product,1200,FEEEL BEAUTY,True,0,9,Size,Size: Free,Cosmetics,Periodical (manual)
,,,,,,,,,Color,Color: Multi,,
Innisfree jeju volcanic pore cleansing foam,True,True,Stockable Product,900,FEEEL BEAUTY,True,0,5,Size,Size: Free,Cosmetics,Periodical (manual)
,,,,,,,,,Color,Color: Multi,,
Innisfree jeju volcanic pore toner,True,True,Stockable Product,1950,FEEEL BEAUTY,True,0,10,Size,Size: Free,Cosmetics,Periodical (manual)
,,,,,,,,,Color,Color: Multi,,
Swept Away (Face Wash),True,True,Stockable Product,0,FEEEL BEAUTY,True,0,0,Size,Size: Free,Cosmetics,Periodical (manual)
,,,,,,,,,Color,Color: Multi,,
